,title,location,Date,link,,
1,Food Pantry Assistant Driver, (Quincy),19-Jun,https://boston.craigslist.org/sob/npo/d/quincy-food-pantry-assistant-driver/7144712640.html,"
compensation: $14 an hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


General Job Description: Under the direction of Interfaith Social Services’ Food Pantry Manager the Assistant Driver will be an integral part of the team responsible for collecting , transporting and managing over 900,000 pounds of food each year - to be distributed to local families in need. 

Type of position: Part-time - 25 hours per week. Monday – Friday 7:30am – 12:30pm. Some evening, weekend and evening hours are required a few times a year for special events, food pickups and meetings.

Location: Quincy, MA

Compensation: $14 an hour

Benefits include: paid holidays, vacation and sick time, employer contribution to a 401K retirement plan, wellness and fitness reimbursement. 

Responsibilities:
•	Assist the Food Pantry Driver with receiving, transporting and unloading food from the Greater Boston Food Bank and various local donors as needed 
•	Assist in maintaining the company vehicle.  This includes keeping the van clean and orderly at all times
•	Organize, sort and stock the pantry freezers and shelves as needed under the direction of the Food Pantry Driver and Food Pantry Manager
•	Assist in maintaining the pantry and overall facility; keeping it clean, safe and efficient
•	Responsible for snow removal around Interfaith’s office in Quincy  
•	Assist staff in carrying out other projects as needed  

Qualifications:
•	Must have a valid Massachusetts Driver’s license
•	A clean driving record
•	Reliable and dependable; able to prioritize tasks and adhere to a set schedule
•	Must demonstrate a pleasant, professional disposition
•	Comfortable working as part of a team 
•	Flexible and willing to adapt to change
•	Able to handle the stress of a labor-intensive job
•	Must be able to stand, walk, bend and lift up to 75 lbs. 

Application: Interested applicants may send a resume and cover letter. Please include the job title which you are applying for in the subject field of the email. 

Interfaith Social Services
Founded in 1947, Interfaith Social Services is dedicated to improving life for South Shore families and individuals in need. Our unique approach relies on a team of volunteers, donors and community partners to deliver compassionate, client-centered programs focused on hunger, mental health and emergency assistance. Interfaith’s food pantry is one of the largest in Greater Boston distributing over 500,000 meals to hungry local residents every year. www.InterfaithSocialServices.org.
"
2,Social Worker, (North Shore),19-Jun,https://boston.craigslist.org/nos/npo/d/methuen-social-worker/7144555631.html,"
compensation: Range begins at $40,000/year

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Social workers apply a child-centered, family-focused, trauma-informed approach to working with children and families. Social workers do this by providing therapeutic interventions, advocacy, counseling, guidance and community connections. Social workers carry caseloads of children and others carry caseloads of foster families based on the needs of the program.  Individuals and families served include children, foster families, birth families, kinship caregivers. Social workers are responsible for ensuring child safety and well-being, as well as quality foster care in accordance with out-of-home placement practices, DCF policies and EEC regulations.  



KEY RESPONSIBILITIES

Conduct ongoing clinical assessments and evaluations of children’s and foster parents’ progress and needs.  
In conjunction with the treatment team, develop a written treatment plan for each child outlining specific goals and when/how these goals will be met. 
Maintain case files and documentation for children, foster families and biological families in accordance with state regulations and agency policies.
Visit with children weekly and foster parents monthly or as needed based on policy and/or demands.
In conjunction with the DCF, provide support and consultation to the biological families of foster children to enhance the child’s relationship with family members.  Encourage regular contact and visitation between children and family members as indicated in the case plan.  Seek to involve family members in plans and decisions regarding the child.
Collaborate with DCF, community organizations and service providers as appropriate. 
Recruit, screen, study, approve and monitor foster homes to ensure safe, quality care and compliance with policies. 
Participate in the coordination and implementation of a training schedule for youths, foster parents, and caregivers.
Attend all necessary meetings including Foster Care Reviews, treatment planning meetings, intake and discharge planning meetings. 
Provide transportation for children to visits, appointments, court, meetings, school, work, etc. as needed.
Assist with recruitment events, appreciation celebrations, group activities, and any other HopeWell events. 
Participate in after hours on-call system to include routine 48 hour visits, emergency response, hospital coverage, and unexpected needs that arise.
Conduct children’s and foster parents’ file reviews to monitor compliance with EEC regulations.
Maintain and submit required reporting logs as requested by Central Office.  
Facilitate support group and training for foster parents as needed.
Provide all pertinent paperwork, receipts and necessary information to ensure timely and accurate processing of billing, reimbursements, client support expenses, purchases, etc.


REQUIREMENTS

Bachelor’s or higher degree in social work or related field required. Master’s Degree preferred
Social work experience with children and families required
Minimum of one-years’ experience providing case management and/or counseling services to children, adolescents and families
Eligibility for Massachusetts Social Work License required (Not Applicable in the state of Connecticut)
High level accuracy and personal accountability for the quality and impact of work 
Excellent communication skills, professional demeanor, sound judgment, and strong organizational skills 
A high level of professionalism in work and interpersonal interactions with both internal and external contacts, presents to others as organized, informed, and approachable
Detail Oriented: Capable of carrying out a given task with all details necessary to get the task done well; 
Reliable and dependable
Team Player: Works well as a member of a group 
Driver’s license and vehicle required
Ability to work with diverse populations. 
Proficient in basic computer skills and Microsoft Office. Ability to navigate and document in clinical computerized patient care records.


OTHER REQUIREMENTS

Clearing of background checks as required by state and federal law.
Commitment to our organizational vision, missions, and program    "
3,Outreach Advocate - Per Diem, (Boston),18-Jun,https://boston.craigslist.org/gbs/npo/d/boston-outreach-advocate-per-diem/7144168100.html,"
compensation: We have increased our hourly wage to 17.06 temporarily; generally $15.06

employment type: part-time

non-profit organization

","

QR Code Link to This Post




Recognized by the Boston Globe as one of the Top Places To Work, Bay Cove Human Services is a private, not-for-profit corporation that provides a wide variety of services to individuals and their families who face the life-long challenges of developmental disabilities, aging, mental illness and drug and alcohol addiction. We have a wide variety of programs available to our clients including residential services, employment support, and day habilitation programs. Bay Cove's 2,000 highly trained employees serve more than 20,000 individuals and their families each year at more than 160 different program sites throughout Greater Boston and southeastern Massachusetts. 


To find out more about Bay Cove and gain access to all of our current openings, click the banner above. 


Outreach Advocate- Per Diem




Requisition #7790
Outreach Advocate- Per Diem (First Step Street Outreach, Cambridge)
Schedule: Per Diem
Salary: $17.06-$19.06/hour.  We have increased our starting wages up to $4.00 hour.  Regularly $15.06/hr




Responsibilities:

Establish and maintain professional relationship with clients in the catchment area.Meet clients ""where they are at"" both geographically (e.g.on a park-bench,in a train station, on the street, etc.) and personally(e.g., intoxicated or sober).Establish and maintain professional relationships with other service providers, local businesses, and concerned citizens in at least the catchment area.Thorough awareness of substance abuse, HIV/AIDS, and homeless resources(e.g., shelter and housing services, drop-in center, clinics, detox and other health care programs, prevention programs, etc.).Connect clients with desired programs through direct referrals (e.g., calling a detox, confirming a bed, and transporting clients to the detox) and indirect referrals (e.g., pass along information about particular programs).Brief substance abuse counseling and all necessary case management activities.Completing all required paperwork (e.g., daily logs, intake forms, HMIS data entry, reporting, and PEMS).Proper care of CASPAR property(e.g., vehicles, computers, phones).Other outreach and prevention programs duties as assigned by the Program Director.

Qualifications:

High school Diploma or equivalent certification.Minimum two years of direct care experience with a homeless, mentally ill, and/or actively addicted population.Understanding of addiction and mental illness.Minimum of two years of continuous sobriety if recovering.
Driving License Required? Yes



Benefits:

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.



TO APPLY:

Apply online by going to https://www.baycove/org/apply/index.cfm?pid=7790.


Bay Cove Human Services, 66 Canal Street, Boston, MA 02114 


Bay Cove is an Equal Opportunity/Affirmative Action Employer
"
4,Case Manager-Boston, (Boston),18-Jun,https://boston.craigslist.org/gbs/npo/d/jamaica-plain-case-manager-boston/7144150276.html,"
compensation: $17-$19/hr. Per Diem.  $18.50-$20.50 part-time.  We have temporarily increased our starting wage up to $4.00/hr.  Regularly $15/hr.Per Diem; $16.50 Part-time

employment type: part-time

","

QR Code Link to This Post


Part-time - Tues-Thurs 11a-7p; Fri-Sat 7a-3p
Full-time - Schedule to be determined
and Per Diem opportunities available




Recognized by the Boston Globe as one of the Top Places To Work, Bay Cove Human Services is a private, not-for-profit corporation that provides a wide variety of services to individuals and their families who face the life-long challenges of developmental disabilities, aging, mental illness and drug and alcohol addiction. We have a wide variety of programs available to our clients including residential services, employment support, and day habilitation programs. Bay Cove's 2,000 highly trained employees serve more than 20,000 individuals and their families each year at more than 160 different program sites throughout Greater Boston and southeastern Massachusetts. 


To find out more about Bay Cove and gain access to all of our current openings, click the banner above. 


Case Manager




Requisition #9009
Case Manager (Andrew House Boston, Jamaica Plain)
Schedule: Fri-Mon 11a-7p
Salary: $17-$19/hr. Per Diem.  $18.50-$20.50 part-time.  We have temporarily increased our starting wage up to $4.00/hr.  Regularly $15/hr.Per Diem; $16.50 Part-time




Responsibilities:

Bay Cove Human Services, Inc.a leading Massachusetts human services organization, seeks a Case Manager for Andrew House, a 24 bed acute treatment facility that provides medically monitored services to adults who need short-term detoxification from alcohol, heroin and other opiates

The Case Manager works with a multidisciplinary team, and is responsible for providing the necessary case management and support for our patients.We are looking for someone who strives to:
 
Challenge thinking.Be different.Lead change.Bay Cove is looking for people who are inspired and inspiring.You will:
 
Provide group counseling to all clients regarding substance use disorder.Provide case management and engage in care consultation regarding specific clients with other staff, relatives and appropriate representatives of other agencies, including social service agencies, housing authorities, health care providers and vocational issues.Provide crisis intervention when necessary.Prepare client evaluations and develop and implement treatment plans.Make appropriate referrals and complete follow-up referrals to insure proper aftercare.Maintain client records and programmatic documentation and insure their confidentiality.

Qualifications:

What you will need to bring:

Education - Bachelor’s Degree preferred or equivalent experience.Experience – Experience in individual and group counseling.Knowledge of the field of substance abuse.Understanding of modality specific issues, such as substance use disorder, homelessness, trauma, and other co-occurring disorders.Skills – Good written and verbal skills, computer skills, record keeping, and organizational skills.Ability to follow and enforce the policies and procedures of the program.Be able to work independently and be responsible.Able to accept supervision and be part of a team.Ability to respond physically to the needs of the clients or other programs issues on all floors of the facility.License/Certification – CADAC/LADAC or equivalent preferred, or actively pursuing certification.Keywords: Substance Use Disorder, Group, Addictions, Recovery, Mental Health, Counselor, Case Management, Therapy, Care Coordination, Clinical Supervision, Management
Driving License Required? Yes



Benefits:

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.



TO APPLY:

Apply online by going to https://www.baycove/org/apply/index.cfm?pid=9009.


Bay Cove Human Services, 66 Canal Street, Boston, MA 02114 


Bay Cove is an Equal Opportunity/Affirmative Action Employer
"
5,"College Access Advisor, Girls Inc. AmeriCorps Fellow", (lynn),18-Jun,https://boston.craigslist.org/nos/npo/d/lynn-college-access-advisor-girls-inc/7144105040.html,"
compensation: Salary and benefits included in job description.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Service Description:
The mission of Girls Inc. of Lynn is to inspire all girls to be strong, smart, and bold by meeting the needs of girls in the community, developing girls’ capacity to overcome the effects of discrimination and be self- sufficient, responsible members of the community, and by serving as a vigorous advocate for all girls ages 5-18.

The Massachusetts Promise Fellow will provide college access readiness programming for high school junior and senior girls which includes weekly programming featuring a 1:1 mentoring for the senior girls and team mentoring for junior girls. The College Access Fellow will teach girls about the college application process, scholarships and financial aid, increase girls’ knowledge of colleges and scholarships that are a good fit for them personally, and engage the parents of girls in the program.

Essential Responsibilities: 
•	Oversee the College Access Program by reviewing and updating schedules, curricula, policies and procedures to improve effectiveness
•	Recruit, mentor, and guide the girls and their mentors through the college application process
•	Assist with orientation and training for the volunteer mentors and parent/guardians
•	Establish and maintained regular communication with program participants and their parent/guardians
•	Plan, prepare for, and facilitate weekly college access mentoring sessions
•	Track and record program data, including member information, training/program hours, attendance records, number of matches, student college acceptances, and scholarships awarded to mentees
•	Work with staff to coordinate and implement other program components
•	Maintain a Google Drive account for the program to share program resources
•	Plan and implement activities to engage parent/guardians
•	Complete program evaluation requirements including but not limited to preparing monthly reports, a youth attendance tracker, and time sheets
•	Travel at least once/month for Fellowship meetings, retreats, and training throughout the Commonwealth

Qualifications: 
•	Bachelor’s degree or demonstrated equivalent of related experience preferred in education or related field
•	Ability to work independently and take initiative
•	Excellent organizational and communication skills
•	Interest in and commitment to national and community service
•	Familiar with the college and scholarship application processes
•	Experience working with youth and adult volunteers
•	Lesson planning and facilitation experience
•	Strong critical thinking and problem-solving skills
•	Ability to prioritize tasks and maintain progress on short and long-term goals
•	Ability to work with youth and families from a variety of backgrounds
•	Must be a US Citizen, US National or Permanent Resident Alien
•	Must be willing to undergo a National Service Criminal History Check, including screenings through the National Sex Offender Public Website, a name-based search of the statewide criminal history registry both in Massachusetts and your state of residence upon application to our program (if not Massachusetts), and a fingerprint based FBI check. *Eligibility to participate in MPF is contingent on the results of this screening*

Fellow Schedule: 
•	Monday & Wednesdays 10:30am-6:30pm; Tuesdays & Thursdays 11:00am-8:00pm; Fridays 12:00pm-6:00pm
•	Some weekends

Fellow Service Location: Girls Inc. of Lynn, 50 High Street, Lynn, MA
Supervisor: College and Career Readiness Coordinator

Benefits:
For an eleven-month, full-time commitment and 1,700 hours of AmeriCorps service Fellows receive:
•	A taxable living allowance of up to $15,500/year
•	Excellent training opportunities
•	FREE courses at Northeastern University in the College of Professional Studies, and discounted courses upon successfully completing the service year
•	Loan forbearance and an up to $16,195 educational award
•	Monthly travel allowance
•	Career coaching and support
•	Healthcare benefits

Apply ASAP! Applicants are hired on a rolling basis.
Visit https://www.masspromisefellows.org/apply to complete a general application.

More Info: 
· All position offers will be provisional until 2020-2021 federal funding has been confirmed. 
· Program start date is August 4th, 2020
· More information about Girls Incorporated of Lynn can be found at https://girlsinclynn.org
· Visit www.masspromisefellows.org for detailed program information

The Massachusetts Promise Fellowship (MPF) is an equal opportunity employer. At MPF, we do not just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our employees, youth, and our community. We require that all our partners make reasonable accommodations for interviews and service for any and all individuals with a permanent or temporary disability. We actively partner with organizations representing minority concerns and interests to build high-performing teams that mirror the communities we serve.

Massachusetts Promise Fellowship 
Northeastern University • 360 Huntington Avenue, 232 YMC • Boston, MA 02115 www.masspromisefellows.org    "
6,Residential Permanency Youth Counselors-     PRE-ILP, (Lynn),18-Jun,https://boston.craigslist.org/nos/npo/d/lynn-residential-permanency-youth/7144080155.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Pre-Independent Living Program- Lynn
Monday-Friday 8AM-5PM Full-Time (Male Candidate)

The Direct Care Staff with Centerboard's Youth Services Programs are an integral part of the residents' treatment team. All staff must be well versed in understanding, creating and maintaining a trauma-informed care and be amendable to function as a generalist in the daily care of clients and their environment. Direct Care Staff must become proficient in understanding and treating the behavioral and emotional deficits of at risk youth. They must provide safety and structure while understanding when and how to intervene and teach new, healthier responses to stress and anxiety.

*Applicants should have experience in a direct care or residential setting as well as working with youth or young 
adults in goal setting and personal development.
*Primary responsibilities include assisting residents with life skills, setting and achieving goals as well as maintaining a safe environment.
*Strong observational skills and the ability to document all aspects of resident's care and progress.
*Strong communication skills and working with minimal supervision is necessary.
*Additional duties include oversight of program residents and shift requirements.
*Applicants with residential experience or advocacy encouraged to apply.
*Centerboard offers competitive salaries and benefit packages.
*If you are looking for a flexible work environment and want to give back to youth in need, this job is for you.

Job requirements include a valid driver's license, a bachelor's degree or some college education preferred. MAP certification is required after 90 days of employment (Centerboard will assist with training & certification). Ability to pass CORI/DCF/SORI Background check. Must complete & pass 3 full days of training.

Interested and qualified applicants should apply through our website online application process by using the link below. Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
7,Teen Living Parenting Program -  Melrose MA, (Melrose),18-Jun,https://boston.craigslist.org/nos/npo/d/melrose-teen-living-parenting-program/7144076486.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and Flexible Scheduling (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions: 
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions. 
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed. 
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources. 
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift. 
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups. 

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below. 

https://workforcenow.adp.com/jobs/apply/posting.html?client=cboard#

To learn more about Centerboard, please visit www.centerboard.org    "
8,"Teen Parenting Program Spanish Speaking- Chelsea, Lynn, Melrose MA", (Melrose),18-Jun,https://boston.craigslist.org/gbs/npo/d/melrose-teen-parenting-program-spanish/7144072443.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Lynn, MA - Teen Living/Parenting Program Family Advocate Opportunity
Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity
Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and Flexible Scheduling (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions: 
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions. 
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed. 
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources. 
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift. 
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups. 

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below. 

https://workforcenow.adp.com/jobs/apply/posting.html?client=cboard#

To learn more about Centerboard, please visit www.centerboard.org    "
9,Awake Overnights-Teen Living/Parenting-Melrose, (Melrose),18-Jun,https://boston.craigslist.org/nos/npo/d/melrose-awake-overnights-teen-living/7144066127.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
10,Awake Overnights-Teen Living/Parenting-Melrose, (Melrose),18-Jun,https://boston.craigslist.org/gbs/npo/d/melrose-awake-overnights-teen-living/7144063524.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
